App,Developer,Downloads,Date_Reached,Date_Published,Category,Pre_installed,Type,Price
Google Play Services,Google,10B+,2020-08-01,2012-09-26,Tools,Yes,Free,
YouTube,Google,10B+,2021-08-04,2010-10-20,Video editor & social media,Yes,Free,
Google Maps,Google,10B+,2021-11-16,2012-12-12,Mapping,Yes,Free,
Speech Services by Google,Google,10B+,2021-11-18,2013-10-10,Accessibility tool,Yes,Free,
Google Search,Google,10B+,2021-11-19,2010-08-12,Search tool,Yes,Free,
Google Chrome,Google,10B+,2021-12-04,2012-02-07,Web browser,Yes,Free,
Gmail,Google,10B+,2022-01-16,2010-09-21,E-mail,Yes,Free,
Android Accessibility Suite,Google,10B+,2022-12-18,Unknown,Accessibility tool,Yes,Free,
Facebook,Meta,10B+,2023-03-01,2011-08-09,Social media,Yes*,Free,
Google Photos,Google,10B+,2023-12-17,2015-05-28,Photo/Video manager,Yes,Free,
Android System WebView,Google,10B+,2023-12-17,2015-03-10,Tools,Yes,Free,
Google Drive,Google,10B+,2024-01-01,2011-04-27,Cloud storage,Yes*,Free,
Android Switch,Google,10B+,2024-10-07,2021-07-21,File manager,Yes,Free,
WhatsApp Messenger,Meta,10B+,2025-01-01,2010-08-18,Communication,No,Free,
Gboard,Google,10B+,2025-02-26,2015-01-26,Keyboard,Yes*,Free,
Google TV,Google,10B+,2025-07-05,2011-06-03,Video player,Yes,Free,
Google Meet,Google,10B+,2025-07-05,2016-08-18,Communication,Yes*,Free,
YouTube Music,Google,5B-10B,2019-11-01,2015-11-12,Music,Yes*,Free,
Messenger,Meta,5B-10B,2021-05-15,2014-01-30,Communication,No,Free,
Google Hangouts,Google,5B-10B,2021-06-03,,Communication,,Free,
Samsung Push Service,Samsung,5B-10B,2022-06-03,2013-03-29,Communication,Yes*,Free,
Google Play Games,Google,5B-10B,2022-08-14,2013-07-24,Games,Yes*,Free,
Android Auto,Google,5B-10B,2023-06-03,2015-03-19,App manager for automobile,Yes,Free,
Google Calendar,Google,5B-10B,2023-06-03,2012-10-17,Calendar & organiser,Yes*,Free,
Instagram,Meta,5B-10B,2023-09-01,2012-04-03,Social media,Yes*,Free,
Google Messages,Google,5B-10B,2023-10-02,2014-11-12,Communication,Yes*,Free,
Digital Wellbeing,Google,5B-10B,2023-11-01,2018-08-08,Lifestyle,No,Free,
Carrier Services,Google,5B-10B,2023-12-02,2017-03-13,Communication,Yes*,Free,
Google Play Services for AR,Google,5B-10B,2025-01-01,2017-12-11,Tools,Yes*,Free,
Files by Google,Google,5B-10B,2025-03-01,2017-12-05,Storage cleaner & file manager,Yes*,Free,
Google Currents,Google,1B-5B,2014-12-27,2011-06-28,Social media,Yes*,Free,
Google Play Books,Google,1B-5B,2015-06-01,2010-12-06,Books & reference,Yes*,Free,
Google News,Google,1B-5B,2015-09-20,2012-06-27,News & magazines,No,Free,
Google Street View,Google,1B-5B,2017-06-23,2010-09-09,Travel & local,Yes*,Free,
Skype,Microsoft,1B-5B,2017-11-02,2010-10-04,Communication,Yes*,Free,
Subway Surfers,Kiloo,1B-5B,2018-04-01,2012-09-20,Games & arcade,No,Free,
Facebook Lite,Meta,1B-5B,2018-12-16,2015-01-28,Social media,Yes*,Free,
Snapchat,Snap Inc.,1B-5B,2019-07-18,2012-10-29,"Photo/Video editor, social media & mapping",No,Free,
Microsoft Word: Edit Documents,Microsoft,1B-5B,2019-07-14,2015-01-06,Word processor,Yes*,Free,
Microsoft OneDrive,Microsoft,1B-5B,2019-09-15,2012-08-28,Cloud storage,Yes*,Free,
TikTok,ByteDance,1B-5B,2020-04-11,2015-07-09,Video editor & social media,Yes*,Free,
X,X Corp,1B-5B,2020-07-16,2010-04-30,Social media,Yes*,Free,
Netflix,"Netflix, Inc",1B-5B,2020-08-02,2016-01-06,Media streaming,Yes*,Free,
Dropbox,"Dropbox, Inc.",1B-5B,2020-09-02,2010-05-04,Cloud storage,No,Free,
Google Docs,Google,1B-5B,2020-11-01,2014-04-30,Word processor,Yes*,Free,
Google Translate,Google,1B-5B,2021-04-04,2010-01-01,Translation,Yes*,Free,
Spotify,Spotify AB,1B-5B,2021-05-01,2014-05-27,Music & audio streaming,No,Free,
Free Fire,Garena,1B-5B,2021-07-17,2017-09-30,"Games, action & shooter",No,Free,
